arabic,english
hjr,abandon
qbl,accept/before (spatial or temporal)
Swl,access
SHb,accompanied
Tbq,according to 
Hqq,achieve, check
br*,acquitted
nshT,active
DbT,adjust/monitor
3jb,admire
qdm,advance
nSH,advise
jwy,aerial
KhTb,affiance
ftr,after
tfq,agreed
z3m,allege
wl*,allegiance
Hlf,alliance
khSS,allocated
smH,allow
shrd,amaze
ghDb,anger
Dmm,annexed (passive?)
rdd,answer
drr,answer?
bdw,appears, seems that
lHq,append
3yn,appoint
hjj,arguments
rtb,arrange 
nsq,arrangement
wSl,arrive
ghrr,arrogance
TrH,ask
Tlb,ask of + min
s*l,ask, be responsible for
3wn,assistance, backing
rfq,attach
hjm,attack
hjm,attacked
HDr,attend
jdhb,attract
s lT,authority
fwD,authorize
fwD,authorize
w3y,awareness
khlw,bare, vacant
bdl,bargain
Hjz,barrier
kwn,be
kwn,be 
sh h d,be a witness
qdr,be able
ghyb,be absent (of the sun - go down)
khwf,be afraid
wld,be born
tmm,be completed (+masdar)
qn3,be content
rDy,be content
ghrq,be drowned
krm,be generous
s3d,be happy, lucky
Trb,be in a state of rapture
KhT*,be mistaken
hmm,be of interest to
skt,be quiet
Hzn,be sad
n3s,be sleepy
ftn,be subject to temptation
3rD,be wide, come into someone's awareness, offer, show
bd*,begin
bd*,begin
khlf,behind
nf3,benefit, be of use
khyr,benevolent
ghdr,betray
khvn,betray
kbr,big
jsm,body
qSf,bombing
ksr,break
fkk,break up
jsr,bridge
bny,build
bn3,building
Hrq,burn
Hrq,burn, set on fire
dfn,bury
dfn,bury
Hsb,calculate
d3y,called
mnd,calling, announcing
d3w,calls
Hd*,calm
*sr,captivity
syr,car 
Hml,carry
nfdh,carry out
Haaq,catch
qbD,catch
qbD,catch
Hfl,celebration, gathering
rkz,centre
ghyr,change
thm,charged (with crime)
shj3,cheer
Tfl,child
hdy,chill
mdn,civilise
Thr,clean (to be)
byn,clear (to become)
jm3,collect
HDr,come to + ilaa
tzm,commit
shkw,complain
*tm,complete
k ml,complete
tmf,complete
Snf,compose?
hmm,concern, be of interest
*dy,conduct (v)
kfH,confront
rbT,connect
qhr,conquer
3qb,consequence
3br,consider
nZr,consider
*lf,constitute, put together
syTr,control
3qd,convene, hold
Tb kh,cook
Tbkh,cook
qwm,correct, adjust
qrn,couple
ghty,cover
zHf,creep
nqd,criticism
twj,crowned
bky,cry, weep
l3n,curse, damn
wly,custodian
khTr,danger
fjr,dawn/set off
ywm,day
qrr,decide
qrr,decide
3zm,decide, resolve VIII
HTT,decline?
nqS,decrease, go down
hzm,defeated
*khr,delay
mhl,delay
3mq,depth
nzl,descend, leave the house + min
wSf,description
rsm,design
r gh b,desire
rghm,despite
dmr,destroy
Twr,Develop 
nmy,develop, enhance
D3t,developed
jwr,deviate
bdr,devise
mwt,die
myt ,die
S3b,difficult
nqsh,discuss
mrd,disease
zy3,distribute
frq,divide
Tlq,divorced
f3l,do
f3l,do
ntm,do
sh r b,drink
shrb,drink
swq,drive  
Srf,drive away
zrq,drop excrement
shl,easy
3kl,eat
thqf,educate
mrb,educator
jhd,effort
mkn,enable
jnd,enlist
kfl,ensure
d kh l,enter
dkhl,enter
tHq,entitled
3hd,era
hrb,escape
njw,escape
shhd,evidence, witness
bdl,exchange
bdhl,exert
jrb,experiment
shrH,explain
fDH,expose
fDH,expose
Trd,expulsion
mdd,extend
wjh,face (n)
f sh l,fail + fii
fshl,failure
Sqr,falcon?
wq3,fall
sqT,fall (over, or of a city)
rhb,fear
tkhf,fear
sh3r,feel
sh 3 r,feel + bi
khtb,fiance?
mwl,finance (v)
jhz,finish off
fSl,fire
sh3l,flame
Tyr,fly
qwm,folk
tb3,follow
tb3,follow
tb3,follow 
ghfr,forgive
shkl,form
wjd,found 
*ss,foundations
rb3,four
Hrr,free
Hfl,gather
jm3,gather
ghDb,get angry + min
qwm,get up
dhb,go
dh h b,go to + ilaa
S3d,go up (less physical than slq)
Hdf,goal
Hsn,good, fine, well
fq*,gouge out
nsh*,grow
zyd,grow
Hrs,guard
nSf,half
Hd th,happen
Drr,harm
mlk,have
mlk,have
fTr,have breakfast + min
tjh,heading for?
sm3,hear, listen
sm3,hearing
bTl,hero
khb*,hide
ktm,hide
slm,hierarchy
lmH,hint
Zft,hired
Drb,hit
Swb,hit target
Drb,hit, beat
3ql,hobble
qds,holy
wTn,homeland
fkhr,honour
shrf,honour
*ml,hope
Svd,hunt
*kd,II
mhm,important
shrT,impose condition
frD,imposition
shml,include
*thr,influence
nzl,inn, hostel
qtsh,inspection?
nwy,intend
qS d,intend
nwy*,intend to
hmm,interest
kthf,intesify
ghzw,invade
qlb,inversion
wrT,involve
3zl,isolate
bnd,item
shghl,job
bdm,join
nDm,join
rdn,Jordan! (not really a root)
qfz,jump
brr,justify
HfDH,keep/memorise
fyl,kill
qtl,kill
qtl,kill alt
dqq,knock
3rf,know, get to know
3lm,know, learn of + bi
3rf,know, realize
3lm,know, teach
*rD,land
*khr,last
shnn,launch an attack
*mm,lead
qwd,lead 
ydr,leader
trk,leave
trk,leave
kh r j,leave (a place)
*dm,led
qnn,legal
Twl,length
hbb,like
nsb,link, correlate
shfh,lip
nSt,listen
*db,literature?
3ysh,live
Hyt,live
3vSH,live 
skn,live (in)
n DH r,look at + ilaa
fqd,lose
j3l,make
khTb,make a speech
mkn,make strong
Sn3,making
dhkr,male
mwl,mall
rjl,man
kthr,many
zwj,marry
ktl,mass
swd,master, to become
ndj,maturity
qSd,mean, intend
Tny,medical
wsT,medium
rsl,messenger, communication?
3dl,modify
shhr,month
nSb,monument (erect, set-up)
qmr,moon
SbH,morning
mvl,move body, sway
